,week_start_date,L2,O_SALE,O_UNIT,M_ON_DIS_TOTAL_SPEND,M_OFF_DIS_TOTAL_SPEND,M_SEARCH_SPEND
0,6/27/2022,PACKAGED VEGETABLES,11810424.28,4184493.53,0.00,0.00,4465.04
1,6/27/2022,COOKING VEGTABLES,14298164.49,8655569.60,0.00,0.00,0.00
2,6/27/2022,POTATOES ONIONS GARLIC,19639126.37,7448798.82,0.00,0.00,402.39
3,6/27/2022,CUT FRUIT,9004372.76,1900719.31,0.00,0.00,59.11
4,6/27/2022,BANANAS PINEAPPLES,8677231.26,14647364.71,23.42,0.00,0.00
5,6/27/2022,DEPT LEVEL SALES,125263.09,35004.40,0.00,0.00,0.00
6,6/27/2022,,0.00,0.00,0.00,0.00,934.93
7,6/27/2022,TRUCK VEG CHILIS,16854649.57,19558827.69,0.00,0.00,0.00
8,6/27/2022,CITRUS,10557850.55,8466405.60,34.50,10.56,0.00
9,6/27/2022,APPLES PEARS CHERRIES,13804102.12,3910577.37,0.00,0.00,3538.34
10,6/27/2022,TOMATOES,11026416.91,5910940.36,37.27,41.21,1272.73
11,6/27/2022,D94 MISC L2,67.13,49.00,0.00,0.00,0.00
12,6/27/2022,FLORAL,2550811.76,338070.00,0.04,0.00,0.00
13,6/27/2022,MIXED BERRIES,7082178.23,1704744.00,0.00,0.00,0.00
14,6/27/2022,STRAWBERRIES,8027976.54,2834297.50,0.00,0.00,0.00
15,6/27/2022,MELONS,12997342.36,3401734.98,0.00,0.00,0.00
16,6/27/2022,PRODUCE L2,43267.71,21184.00,0.00,0.00,0.00
17,6/27/2022,SANDWICHES AND SALADS,1457791.43,449776.00,0.00,0.00,0.00
18,6/27/2022,VAV MUSHROOMS DDV,8346114.84,2503755.20,0.00,0.00,6641.32
19,6/27/2022,DRIED FRUIT NUTS SNACKS,0.00,0.00,0.00,0.00,0.00
20,6/27/2022,TROPICALS,2948350.62,2052443.98,0.00,0.00,1201.44
21,6/27/2022,MISC D84 AND 94,0.00,0.00,0.00,0.00,0.00
22,6/27/2022,STONE FRUIT,5210908.83,1928167.01,0.00,0.00,0.00
23,6/27/2022,AVOCADOS L2,5431644.64,3740140.00,3416.84,1664.55,0.00
24,6/27/2022,GRAPES L2,5536694.76,3314112.04,0.00,111.01,0.00
25,7/4/2022,CITRUS,20231198.72,14950510.10,80.69,23.95,0.00
26,7/4/2022,TRUCK VEG CHILIS,28311995.41,27437881.58,0.00,0.00,0.00
27,7/4/2022,TOMATOES,19192470.73,10493548.33,0.00,0.00,4910.41
28,7/4/2022,PACKAGED VEGETABLES,25266753.68,8753485.11,0.00,0.00,10188.61
29,7/4/2022,MISC D84 AND 94,0.00,0.00,0.00,0.00,0.00
30,7/4/2022,STONE FRUIT,12027588.79,4638781.96,0.00,0.00,0.00
31,7/4/2022,BANANAS PINEAPPLES,18388358.17,31631994.88,55.11,0.00,0.00
32,7/4/2022,D94 MISC L2,234.27,171.00,0.00,0.00,0.00
33,7/4/2022,BEVERAGE VEGETARIAN,0.00,0.00,0.00,0.00,0.00
34,7/4/2022,STRAWBERRIES,13898356.44,5014448.00,0.00,0.00,0.00
35,7/4/2022,CUT FRUIT,16786479.34,3837363.65,2.59,0.00,154.89
36,7/4/2022,DRIED FRUIT NUTS SNACKS,0.00,0.00,0.00,0.00,0.00
37,7/4/2022,POTATOES ONIONS GARLIC,33934230.91,13035805.57,0.00,0.00,1103.78
38,7/4/2022,COOKING VEGTABLES,27678056.18,16292319.37,0.00,0.00,0.00
39,7/4/2022,GRAPES L2,12184494.15,6336479.18,0.00,205.56,0.00
40,7/4/2022,VAV MUSHROOMS DDV,16126545.17,4926269.51,0.00,0.00,18101.40
41,7/4/2022,SANDWICHES AND SALADS,3600436.19,1133018.00,0.00,0.00,0.00
42,7/4/2022,TROPICALS,6410692.64,4557271.40,0.00,0.00,2956.04
43,7/4/2022,APPLES PEARS CHERRIES,30028138.44,8534416.20,0.00,0.00,10488.15
44,7/4/2022,MELONS,17702538.88,4411054.68,0.00,0.00,0.00
45,7/4/2022,MIXED BERRIES,12430660.34,3002704.00,0.00,0.00,0.00
46,7/4/2022,FLORAL,4537161.17,605040.00,0.09,0.00,0.00
47,7/4/2022,AVOCADOS L2,11118787.14,7747382.05,7973.08,3775.39,0.00
48,7/4/2022,DEPT LEVEL SALES,240169.22,63700.24,0.00,0.00,0.00
49,7/4/2022,,0.00,0.00,0.00,0.00,3447.38
50,7/4/2022,PRODUCE L2,83264.69,40588.00,0.00,0.00,0.00
51,7/11/2022,POTATOES ONIONS GARLIC,33803953.52,12877524.75,0.00,0.00,1087.14
52,7/11/2022,APPLES PEARS CHERRIES,29753222.67,8462017.34,0.00,0.00,11350.88
53,7/11/2022,AVOCADOS L2,10987457.98,7609708.12,7832.41,3783.29,0.00
54,7/11/2022,FLORAL,4399196.36,590409.00,0.06,0.00,0.00
55,7/11/2022,STRAWBERRIES,13637737.38,4763242.00,0.00,0.00,0.00
56,7/11/2022,DEPT LEVEL SALES,266807.16,64831.11,0.00,0.00,0.00
57,7/11/2022,DRIED FRUIT NUTS SNACKS,0.00,0.00,0.00,0.00,0.00
58,7/11/2022,STONE FRUIT,12355385.43,5076927.82,0.00,0.00,0.00
59,7/11/2022,TOMATOES,18549407.00,10159202.36,0.00,0.00,4958.44
60,7/11/2022,VAV MUSHROOMS DDV,15888209.92,4872673.68,2694.39,0.00,18748.49
61,7/11/2022,BANANAS PINEAPPLES,18262083.64,31336533.59,54.00,0.00,0.00
62,7/11/2022,PACKAGED VEGETABLES,25653674.69,8816948.03,0.00,0.00,10082.45
63,7/11/2022,MELONS,17022629.43,3957350.06,0.00,0.00,0.00
64,7/11/2022,VEGETABLES - D84,0.00,0.00,0.00,0.00,0.00
65,7/11/2022,GRAPES L2,13720345.99,6427084.01,0.00,93.51,0.00
66,7/11/2022,,0.00,0.00,0.00,0.00,5631.10
67,7/11/2022,PRODUCE L2,83857.20,40666.00,0.00,0.00,0.00
68,7/11/2022,SANDWICHES AND SALADS,3701527.04,1163063.00,0.00,0.00,0.00
69,7/11/2022,COOKING VEGTABLES,27525404.60,15991116.51,0.00,0.00,0.00
70,7/11/2022,CITRUS,19476512.54,14864097.13,210.16,24.15,0.00
71,7/11/2022,TRUCK VEG CHILIS,27661969.82,25491291.62,0.00,0.00,0.00
72,7/11/2022,TROPICALS,6280184.27,4629238.87,0.00,0.00,2806.10
73,7/11/2022,MISC D84 AND 94,0.00,0.00,0.00,0.00,0.00
74,7/11/2022,PR PRODUCE,0.00,0.00,0.00,0.00,0.00
75,7/11/2022,CUT FRUIT,16126531.36,3672307.86,0.56,0.00,135.54
76,7/11/2022,MIXED BERRIES,12277373.49,2905445.00,0.00,0.00,0.00
77,7/11/2022,D94 MISC L2,205.30,149.86,0.00,0.00,0.00
78,7/18/2022,FLORAL,4661034.17,608969.00,0.00,0.00,0.00
79,7/18/2022,VAV MUSHROOMS DDV,15624828.51,4800556.59,3633.03,0.00,19161.18
80,7/18/2022,TROPICALS,6149315.06,4586181.87,0.00,0.00,1809.18
81,7/18/2022,CUT FRUIT,15876739.69,3626305.63,0.00,0.00,159.79
82,7/18/2022,STRAWBERRIES,14517871.59,4637948.00,0.00,0.00,0.00
83,7/18/2022,PRODUCE L2,78782.06,37997.00,0.00,0.00,0.00
84,7/18/2022,MISC D84 AND 94,0.00,0.00,0.00,0.00,0.00
85,7/18/2022,MIXED BERRIES,12499852.55,2928617.00,0.00,0.00,0.00
86,7/18/2022,DRIED FRUIT NUTS SNACKS,0.00,0.00,0.00,0.00,0.00
87,7/18/2022,,0.00,0.00,0.00,0.00,726.50
88,7/18/2022,MELONS,15336992.33,3551211.45,0.00,0.00,0.00
89,7/18/2022,TRUCK VEG CHILIS,27367345.43,24788291.97,0.00,0.00,0.00
90,7/18/2022,POTATOES ONIONS GARLIC,34165838.16,12788520.76,0.00,0.00,1008.01
91,7/18/2022,COOKING VEGTABLES,27643467.61,16088209.41,0.00,0.00,0.00
92,7/18/2022,BANANAS PINEAPPLES,18222727.78,31228953.79,29.25,0.00,0.00
93,7/18/2022,SANDWICHES AND SALADS,3479085.07,1082115.00,0.00,0.00,0.00
94,7/18/2022,PR PRODUCE,0.00,0.00,0.00,0.00,0.00
95,7/18/2022,D94 MISC L2,215.09,157.00,0.00,0.00,0.00
96,7/18/2022,GRAPES L2,13794085.05,6612219.12,0.00,44.77,0.00
97,7/18/2022,PACKAGED VEGETABLES,25664819.15,8673072.26,12.51,0.00,9840.93
98,7/18/2022,DEPT LEVEL SALES,278518.24,61287.38,0.00,0.00,0.00
99,7/18/2022,APPLES PEARS CHERRIES,29470604.28,8348871.08,0.00,0.00,12687.41
100,7/18/2022,CITRUS,19230089.31,14782592.58,73.40,24.23,0.00
101,7/18/2022,AVOCADOS L2,11016334.22,7662428.48,7554.18,3796.74,0.00
102,7/18/2022,TOMATOES,18203283.16,9941814.27,0.00,0.00,4410.61
103,7/18/2022,STONE FRUIT,13197842.02,5540793.47,0.00,0.00,0.00
104,7/25/2022,TOMATOES,17543565.79,9619783.96,0.00,0.00,4269.24
105,7/25/2022,PR PRODUCE,0.00,0.00,0.00,0.00,0.00
106,7/25/2022,APPLES PEARS CHERRIES,27779539.74,7964028.73,0.00,0.00,14076.39
107,7/25/2022,PACKAGED VEGETABLES,25345013.81,8510266.92,11920.99,2032.16,8475.18
108,7/25/2022,VAV MUSHROOMS DDV,15456111.23,4740769.97,3668.38,0.00,17983.00
109,7/25/2022,POTATOES ONIONS GARLIC,34173493.56,12599159.05,0.00,0.00,897.90
110,7/25/2022,DRIED FRUIT NUTS SNACKS,0.00,0.00,0.00,0.00,0.00
111,7/25/2022,FLORAL,4632259.43,619417.00,0.00,0.00,0.00
112,7/25/2022,CUT FRUIT,15209568.85,3526007.55,0.00,0.00,175.85
113,7/25/2022,AVOCADOS L2,9860624.99,7632434.76,7124.77,3703.06,0.00
114,7/25/2022,DEPT LEVEL SALES,343721.10,74651.52,0.00,0.00,0.00
115,7/25/2022,MIXED BERRIES,11880235.03,2773377.00,0.00,0.00,0.00
116,7/25/2022,BANANAS PINEAPPLES,17811862.85,30571282.22,27.00,0.00,0.00
117,7/25/2022,STONE FRUIT,13298612.29,5634836.63,0.00,0.00,0.00
118,7/25/2022,MELONS,13695400.49,3157775.59,0.00,0.00,0.00
119,7/25/2022,PRODUCE L2,78472.09,37505.00,0.00,0.00,0.00
120,7/25/2022,VEGETABLES - D84,0.00,0.00,0.00,0.00,0.00
121,7/25/2022,GRAPES L2,13394646.63,6603314.16,0.00,2.73,0.00
