,week_start_date,L2,L3,O_SALE,O_UNIT,M_ON_DIS_TOTAL_SPEND,M_OFF_DIS_TOTAL_SPEND,M_SEARCH_SPEND,Total
0,6/27/2022,VAV MUSHROOMS DDV,MUSHROOM,2137047.42,810660.2,0,0,0,0
1,6/27/2022,TROPICALS,MANGOES,1307916.02,1225870.69,0,0,0,0
2,6/27/2022,MIXED BERRIES,BLACKBERRIES,1058972.22,300269,0,0,0,0
3,6/27/2022,TOMATOES,SALAD TOPPINGS,433621.42,153462,0,0,538.9000042,538.9000042
4,6/27/2022,CITRUS,SPECIALTY CITRUS,145429.31,165306.62,0,0,0,0
5,6/27/2022,PACKAGED VEGETABLES,ORGANIC PKG SALADS,1942873.22,543691,0,0,0,0
6,6/27/2022,TROPICALS,PAPAYAS,380631.77,344450.49,0,0,0,0
7,6/27/2022,D94 MISC L2,D94 MISC L3,67.13,49,0,0,0,0
8,6/27/2022,MELONS,WATERMELONS,11158611.2,2676863.98,0,0,0,0
9,6/27/2022,CUT FRUIT,CUT FRUIT PACKAGED,2022321.05,698693,0,0,59.10999992,59.10999992
10,6/27/2022,STONE FRUIT,PLUMS,958248.65,326138.9,0,0,0,0
11,6/27/2022,TOMATOES,DIPS GLAZES MIXES,307621.04,102353,0,0,394.5899978,394.5899978
12,6/27/2022,MELONS,VARIETY MELONS,353844.62,90553,0,0,0,0
13,6/27/2022,TRUCK VEG CHILIS,ORGANIC TRUCK VEG,587943.83,191114.09,0,0,0,0
14,6/27/2022,BANANAS PINEAPPLES,PINEAPPLES,1351499.7,758819.87,0,0,0,0
15,6/27/2022,MELONS,CANTALOUPES,1475624.93,631380,0,0,0,0
16,6/27/2022,TRUCK VEG CHILIS,CHILIS,1269009.1,835565.77,0,0,0,0
17,6/27/2022,ACTIVEWEAR ECOMM WOMENS,TOPS ACTIVEWEAR ECOMM WOMENS,0.00E+00,0.00E+00,0,0,0,0
18,6/27/2022,APPLES PEARS CHERRIES,CRANBERRIES,159.08,41,0,0,0,0
19,6/27/2022,APPLES PEARS CHERRIES,APPLE SEASONAL,803.23,394,0,0,0,0
20,6/27/2022,TRUCK VEG CHILIS,SQUASH L3,1371191.09,1015913.86,0,0,0,0
21,6/27/2022,TROPICALS,VARIETY TROPICALS,441115.43,158087.66,0,0,0,0
22,6/27/2022,TOMATOES,TOMATO SMALLS,2729480.57,870589.06,0,0,0,0
23,6/27/2022,PACKAGED VEGETABLES,PKG SALADS,8834054.72,3235981.53,0,0,1570.419993,1570.419993
24,6/27/2022,STONE FRUIT,SPECIALTY STONE FRUIT,547545.68,113561.54,0,0,0,0
25,6/27/2022,COOKING VEGTABLES,CARROTS,1636336.87,1152666.84,0,0,0,0
26,6/27/2022,FLORAL,BULBS,61133.36,12609,0,0,0,0
27,6/27/2022,TOMATOES,ETHNIC COOKING,245514.6,104709.6,37.26818333,41.212425,339.2400012,417.7206096
28,6/27/2022,TRUCK VEG CHILIS,GREENS,935798.65,385513,0,0,0,0
29,6/27/2022,CITRUS,CAL SEASONAL,1464.15,705.25,0,0,0,0
30,6/27/2022,FLORAL,CONSUMER BUNCHES,1004446.98,172398,0,0,0,0
31,6/27/2022,POTATOES ONIONS GARLIC,ONIONS,7290313.99,3634067.1,0,0,0,0
32,6/27/2022,STRAWBERRIES,CORE STRAWBERRIES,7394892.19,2653201.5,0,0,0,0
33,6/27/2022,VAV MUSHROOMS DDV,VEGETARIAN,876860.26,268564,0,0,1643.220005,1643.220005
34,6/27/2022,TRUCK VEG CHILIS,CORN,3384914.54,8685351.64,0,0,0,0
35,6/27/2022,MIXED BERRIES,SPECIALTY MIXED BERRIES,859.05,115,0,0,0,0
36,6/27/2022,COOKING VEGTABLES,BROCCOLI L3,1211718.57,622078.76,0,0,0,0
37,6/27/2022,GRAPES L2,GRAPES,5536694.76,3314112.04,0,111.0103057,0,111.0103057
38,6/27/2022,APPLES PEARS CHERRIES,CHERRIES,6220796.24,1367024.36,0,0,0,0
39,6/27/2022,TRUCK VEG CHILIS,BELL PEPPER,4813237.95,3556483.06,0,0,0,0
40,6/27/2022,CITRUS,LEMONS,2023572.8,2075038.9,0,0,0,0
41,6/27/2022,TOMATOES,TOMATO ORGANICS,336817.72,126180.18,0,0,0,0
42,6/27/2022,AVOCADOS L2,ETHNIC ROOTS,147389.54,88507.05,0,0,0,0
43,6/27/2022,CITRUS,MANDARINS,2821503.77,610704.04,0,0,0,0
44,6/27/2022,SANDWICHES AND SALADS,SALADS,1457791.43,449776,0,0,0,0
45,6/27/2022,TOMATOES,TOMATO ROMAS,2707412.2,2368682.4,0,0,0,0
46,6/27/2022,STRAWBERRIES,ORGANIC STRAWBERRIES,470611.27,137746,0,0,0,0
47,6/27/2022,MISC D84 AND 94,MISCELLANEOUS,0.00E+00,0.00E+00,0,0,0,0
48,6/27/2022,COOKING VEGTABLES,LETTUCE,4053456.42,2166518.92,0,0,0,0
49,6/27/2022,VAV MUSHROOMS DDV,DIPS PV,2095435.43,524318,0,0,3652.320011,3652.320011
50,6/27/2022,STONE FRUIT,PEACHES,2059900.73,882857.58,0,0,0,0
51,6/27/2022,MIXED BERRIES,BLUEBERRIES,3818972.75,904003,0,0,0,0
52,6/27/2022,MIXED BERRIES,ORG MIXED BERRIES,713741.42,161546,0,0,0,0
53,6/27/2022,VAV MUSHROOMS DDV,DRESSINGS,509287.34,124192,0,0.003879172,1345.78,1345.78388
54,6/27/2022,FLORAL,MIXED BOUQUETS,425444.56,39690,0.037000177,0,0,0.037000177
55,6/27/2022,COOKING VEGTABLES,CELERY,1411000.76,715853.55,0,0,0,0
56,6/27/2022,TROPICALS,KIWI,818687.4,324035.14,0,0,1201.440009,1201.440009
57,6/27/2022,STRAWBERRIES,LONG STEM STRAWBERRIES,403.9,96,0,0,0,0
58,6/27/2022,COOKING VEGTABLES,ORGANIC COOKING VEG,1543106.98,649271.63,0,0,0,0
59,6/27/2022,FLORAL,ROSES,1039468.47,110289,0,0,0,0
60,6/27/2022,COOKING VEGTABLES,MIXED VEGETABLES,2925602.09,2708327.34,0,0,0,0
61,6/27/2022,PRODUCE L2,PRODUCE L3,43267.71,21184,0,0,0,0
62,6/27/2022,COOKING VEGTABLES,ASPARAGUS L3,988562.5,442673.56,0,0,0,0
63,6/27/2022,TOMATOES,TOMATO TOVS,1288162.79,716105.41,0,0,0,0
64,6/27/2022,DEPT LEVEL SALES,Dept Ring,76756.84,17646.08,0,0,0,0
65,6/27/2022,DEPT LEVEL SALES,Local Items,9893.65,3661.92,0,0,0,0
66,6/27/2022,PROTEIN SNACKS,SNACK NUTS,0.00E+00,0.00E+00,0,0,934.9300176,934.9300176
67,6/27/2022,TRUCK VEG CHILIS,SOFT VEGETABLES,509677.92,285275.96,0,0,0,0
68,6/27/2022,POTATOES ONIONS GARLIC,POTATOES,10409915.09,2932949.19,0,0,0,0
69,6/27/2022,FLORAL,MISC FLORAL,20318.39,3084,0,0,0,0
70,6/27/2022,CITRUS,LIMES,2794253.34,4267788.64,0,0,0,0
71,6/27/2022,POTATOES ONIONS GARLIC,GARLIC,1131519.88,331182.15,0,0,402.3900025,402.3900025
72,6/27/2022,STRAWBERRIES,PREMIUM STRAWBERRIES,162069.18,43254,0,0,0,0
73,6/27/2022,STONE FRUIT,PLUOTS,136340.28,26554,0,0,0,0
74,6/27/2022,CITRUS,ORANGES,2444833.62,1175147.28,34.49996874,10.56268446,0,45.0626532
75,6/27/2022,APPLES PEARS CHERRIES,PEARS,601404.72,235894.43,0,0,1497.370032,1497.370032
76,6/27/2022,BANANAS PINEAPPLES,BANANAS,7325731.56,13888544.84,23.42029412,0,0,23.42029412
77,6/27/2022,POTATOES ONIONS GARLIC,SWEET POTATOES,807377.41,550600.38,0,0,0,0
78,6/27/2022,AVOCADOS L2,AVOCADOS L3,5284255.1,3651632.95,3416.8425,1664.546131,0,5081.388631
79,6/27/2022,TOMATOES,TOMATO SLICERS,2977786.57,1468858.71,0,0,0,0
80,6/27/2022,TRUCK VEG CHILIS,CABBAGE L3,975146.25,1171222.39,0,0,0,0
81,6/27/2022,MIXED BERRIES,RASPBERRIES,1489632.79,338811,0,0,0,0
82,6/27/2022,COOKING VEGTABLES,CAULIFLOWER L3,528380.3,198179,0,0,0,0
83,6/27/2022,DRIED FRUIT NUTS SNACKS,DRIED FRUIT,0.00E+00,0.00E+00,0,0,0,0
84,6/27/2022,DEPT LEVEL SALES,GEC Returns & POS Errors,38612.6,13696.4,0,0,0,0
85,6/27/2022,DRIED FRUIT NUTS SNACKS,PRODUCE SNACKS,0.00E+00,0.00E+00,0,0,0,0
86,6/27/2022,APPLES PEARS CHERRIES,APPLES,6980938.85,2307223.58,0,0,2040.969978,2040.969978
87,6/27/2022,PACKAGED VEGETABLES,HERBS,1033496.34,404821,0,0,2894.620033,2894.620033
88,6/27/2022,CUT FRUIT,CUT FRUIT PROCESSED,6982051.71,1202026.31,0,0,0,0
89,6/27/2022,VAV MUSHROOMS DDV,VALUE ADDED VEGETABLES,2727484.39,776021,0,0,0,0
90,6/27/2022,CITRUS,GRAPEFRUIT,326793.56,171714.87,0,0,0,0
91,6/27/2022,STONE FRUIT,NECTARINES,1508873.49,579054.99,0,0,0,0
92,6/27/2022,TRUCK VEG CHILIS,CUCUMBERS,3007730.24,3432387.92,0,0,0,0
93,6/27/2022,MELONS,PUMPKINS,9261.61,2938,0,0,0,0
94,6/27/2022,RICE AND BEANS,RICE,0.00E+00,0.00E+00,0,0,0,0
95,7/4/2022,VAV MUSHROOMS DDV,DRESSINGS,931382.13,226210,0,0,3622.009999,3622.009999
96,7/4/2022,COOKING VEGTABLES,MIXED VEGETABLES,5403529.61,4803716.66,0,0,0,0
97,7/4/2022,VAV MUSHROOMS DDV,VEGETARIAN,1754191.09,547286,0,0,3851.950011,3851.950011
98,7/4/2022,MELONS,WATERMELONS,14086242.99,3049748.65,0,0,0,0
99,7/4/2022,TRUCK VEG CHILIS,SQUASH L3,2806383.87,2098980.23,0,0,0,0
100,7/4/2022,MELONS,PUMPKINS,8566.8,2722,0,0,0,0
101,7/4/2022,CITRUS,ORANGES,4841646.44,2289824.09,80.68768075,23.94563737,0,104.6333181
102,7/4/2022,FLORAL,CONSUMER BUNCHES,1782611.35,304291,0,0,0,0
103,7/4/2022,COOKING VEGTABLES,ASPARAGUS L3,2108798.56,819383.75,0,0,0,0
104,7/4/2022,TOMATOES,TOMATO SLICERS,4713052.31,2339133.36,0,0,0,0
105,7/4/2022,APPLES PEARS CHERRIES,APPLE SEASONAL,1593.96,783,0,0,0,0
106,7/4/2022,TROPICALS,PAPAYAS,849864.89,768915.74,0,0,0,0
107,7/4/2022,STRAWBERRIES,PREMIUM STRAWBERRIES,228049.3,62026,0,0,0,0
108,7/4/2022,DEPT LEVEL SALES,Dept Ring,120295.77,24947.18,0,0,0,0
109,7/4/2022,MIXED BERRIES,BLUEBERRIES,6576721.49,1575268,0,0,0,0
110,7/4/2022,VAV MUSHROOMS DDV,DIPS PV,3885588.2,975867,0,0,10627.44007,10627.44007
111,7/4/2022,AVOCADOS L2,ETHNIC ROOTS,244937.19,154686.17,0,0,0,0
112,7/4/2022,TRUCK VEG CHILIS,CORN,3317824.34,7269590.81,0,0,0,0
113,7/4/2022,TOMATOES,TOMATO ROMAS,5233639.27,4584018.01,0,0,0,0
114,7/4/2022,TRUCK VEG CHILIS,SOFT VEGETABLES,1009626.35,568637.25,0,0,0,0
115,7/4/2022,BANANAS PINEAPPLES,PINEAPPLES,2353299.86,1240087.39,0,0,0,0
116,7/4/2022,APPLES PEARS CHERRIES,CRANBERRIES,518.02,134,0,0,0,0
117,7/4/2022,PROTEIN SNACKS,SNACK NUTS,0.00E+00,0.00E+00,0,0,3447.380022,3447.380022
118,7/4/2022,BANANAS PINEAPPLES,BANANAS,16035058.31,30391907.49,55.10786274,0,0,55.10786274
119,7/4/2022,APPLES PEARS CHERRIES,APPLES,15414384.38,5086209.9,0,0,6057.249947,6057.249947
120,7/4/2022,FLORAL,ROSES,1871789.98,200261,0,0,0,0
121,7/4/2022,VAV MUSHROOMS DDV,VALUE ADDED VEGETABLES,5379344.2,1563238,0,0,0,0
122,7/4/2022,TRUCK VEG CHILIS,BELL PEPPER,8522582.93,6217434.87,0,0,0,0
123,7/4/2022,AVOCADOS L2,AVOCADOS L3,10873849.95,7592695.88,7973.0765,3775.386869,0,11748.46337
124,7/4/2022,VAV MUSHROOMS DDV,MUSHROOM,4176039.55,1613668.51,0,0,0,0
125,7/4/2022,COOKING VEGTABLES,BROCCOLI L3,2447543.9,1267312.66,0,0,0,0
126,7/4/2022,MELONS,VARIETY MELONS,789829.25,204061.77,0,0,0,0
127,7/4/2022,DEPT LEVEL SALES,Local Items,13742.97,6463.21,0,0,0,0
128,7/4/2022,POTATOES ONIONS GARLIC,POTATOES,17494317.09,5067155.73,0,0,0,0
129,7/4/2022,TRUCK VEG CHILIS,CUCUMBERS,5791295.16,6636490.57,0,0,0,0
130,7/4/2022,TRUCK VEG CHILIS,ORGANIC TRUCK VEG,1132578.8,366296.45,0,0,0,0
131,7/4/2022,STONE FRUIT,PLUMS,2309736.54,818325.27,0,0,0,0
132,7/4/2022,CITRUS,SPECIALTY CITRUS,257858.4,293692.12,0,0,0,0
133,7/4/2022,TRUCK VEG CHILIS,CHILIS,2330392.15,1511373.45,0,0,0,0
134,7/4/2022,BEVERAGE VEGETARIAN,PREMIUM BEVERAGE,0.00E+00,0.00E+00,0,0,0,0
135,7/4/2022,STONE FRUIT,SPECIALTY STONE FRUIT,1248098.74,258409.25,0,0,0,0
136,7/4/2022,TOMATOES,TOMATO SMALLS,4694371.61,1505585.84,0,0,0,0
137,7/4/2022,MIXED BERRIES,RASPBERRIES,2639442.74,594521,0,0,0,0
138,7/4/2022,CITRUS,CAL SEASONAL,1750.08,851.57,0,0,0,0
139,7/4/2022,FLORAL,BULBS,113191.55,23165,0,0,0,0
140,7/4/2022,COOKING VEGTABLES,CAULIFLOWER L3,981736.17,368672.55,0,0,0,0
141,7/4/2022,GRAPES L2,GRAPES,12184494.15,6336479.18,0,205.5595683,0,205.5595683
142,7/4/2022,MIXED BERRIES,BLACKBERRIES,1958590.01,550189,0,0,0,0
143,7/4/2022,COOKING VEGTABLES,ORGANIC COOKING VEG,3169576.08,1331149.08,0,0,0,0
144,7/4/2022,STRAWBERRIES,CORE STRAWBERRIES,12677437.66,4662366,0,0,0,0
145,7/4/2022,TRUCK VEG CHILIS,GREENS,1656708.4,675729,0,0,0,0
146,7/4/2022,STRAWBERRIES,ORGANIC STRAWBERRIES,992098.32,289914,0,0,0,0
147,7/4/2022,CITRUS,LIMES,4424654.58,6815558.37,0,0,0,0
148,7/4/2022,TOMATOES,DIPS GLAZES MIXES,495668.81,154352,0,0,3202.299979,3202.299979
149,7/4/2022,STRAWBERRIES,LONG STEM STRAWBERRIES,771.16,142,0,0,0,0
150,7/4/2022,TROPICALS,MANGOES,2947190.31,2835213.47,0,0,0,0
151,7/4/2022,PRODUCE L2,PRODUCE L3,83264.69,40588,0,0,0,0
152,7/4/2022,MISC D84 AND 94,MISCELLANEOUS,0.00E+00,0.00E+00,0,0,0,0
153,7/4/2022,DRIED FRUIT NUTS SNACKS,DRIED FRUIT,0.00E+00,0.00E+00,0,0,0,0
154,7/4/2022,POTATOES ONIONS GARLIC,GARLIC,2188193.45,646690.95,0,0,1103.780013,1103.780013
155,7/4/2022,TROPICALS,KIWI,1688263.31,624630,0,0,2956.040038,2956.040038
156,7/4/2022,TOMATOES,SALAD TOPPINGS,944678.24,339463,0,0,1460.029983,1460.029983
157,7/4/2022,POTATOES ONIONS GARLIC,SWEET POTATOES,1692917.47,1125297.44,0,0,0,0
158,7/4/2022,APPLES PEARS CHERRIES,CHERRIES,13306843.31,2929212.04,0,0,0,0
159,7/4/2022,PACKAGED VEGETABLES,ORGANIC PKG SALADS,4397137.89,1238833,0,0,0,0
160,7/4/2022,CITRUS,LEMONS,3753840.37,3790747.21,0,0,0,0
161,7/4/2022,STONE FRUIT,NECTARINES,3340263.96,1344301.53,0,0,0,0
162,7/4/2022,PACKAGED VEGETABLES,HERBS,1818828.2,710508,0,0,6504.490043,6504.490043
163,7/4/2022,POTATOES ONIONS GARLIC,ONIONS,12558802.9,6196661.45,0,0,0,0
164,7/4/2022,SANDWICHES AND SALADS,SALADS,3600436.19,1133018,0,0,0,0
165,7/4/2022,TROPICALS,VARIETY TROPICALS,925374.13,328512.19,0,0,0,0
166,7/4/2022,TOMATOES,ETHNIC COOKING,441721.86,190364.47,0,0,248.0799993,248.0799993
167,7/4/2022,TOMATOES,TOMATO TOVS,2091130.99,1163766.37,0,0,0,0
168,7/4/2022,TRUCK VEG CHILIS,CABBAGE L3,1744603.41,2093348.95,0,0,0,0
169,7/4/2022,D94 MISC L2,D94 MISC L3,234.27,171,0,0,0,0
170,7/4/2022,CUT FRUIT,CUT FRUIT PROCESSED,11852071.82,2183059.65,0,0,0,0
171,7/4/2022,CITRUS,GRAPEFRUIT,718788.7,396597.93,0,0,0,0
172,7/4/2022,MELONS,CANTALOUPES,2817899.84,1154522.26,0,0,0,0
173,7/4/2022,FLORAL,MISC FLORAL,38604.74,6129,0,0,0,0
174,7/4/2022,COOKING VEGTABLES,CARROTS,3393928.81,2396845.85,0,0,0,0
175,7/4/2022,MIXED BERRIES,SPECIALTY MIXED BERRIES,1553.76,208,0,0,0,0
176,7/4/2022,COOKING VEGTABLES,LETTUCE,7662712.51,4030101.92,0,0,0,0
177,7/4/2022,FLORAL,MIXED BOUQUETS,730963.55,71194,0.085948416,0,0,0.085948416
178,7/4/2022,MIXED BERRIES,ORG MIXED BERRIES,1254352.34,282518,0,0,0,0
179,7/4/2022,CITRUS,MANDARINS,6232660.15,1363238.81,0,0,0,0
180,7/4/2022,ACTIVEWEAR ECOMM WOMENS,TOPS ACTIVEWEAR ECOMM WOMENS,0.00E+00,0.00E+00,0,0,0,0
181,7/4/2022,PACKAGED VEGETABLES,PKG SALADS,19050787.59,6804144.11,0,0,3684.119985,3684.119985
182,7/4/2022,STONE FRUIT,PEACHES,4819068.69,2157110.91,0,0,0,0
183,7/4/2022,CUT FRUIT,CUT FRUIT PACKAGED,4934407.52,1654304,2.592050565,0,154.8900004,157.482051
184,7/4/2022,COOKING VEGTABLES,CELERY,2510230.54,1275136.9,0,0,0,0
185,7/4/2022,APPLES PEARS CHERRIES,PEARS,1304798.77,518077.26,0,0,4430.90008,4430.90008
186,7/4/2022,TOMATOES,TOMATO ORGANICS,578207.64,216865.28,0,0,0,0
187,7/4/2022,STONE FRUIT,PLUOTS,310420.86,60635,0,0,0,0
188,7/4/2022,DEPT LEVEL SALES,GEC Returns & POS Errors,106130.48,32289.85,0,0,0,0
189,7/4/2022,RICE AND BEANS,RICE,0.00E+00,0.00E+00,0,0,0,0
190,7/11/2022,TROPICALS,VARIETY TROPICALS,955569.67,327490.29,0,0,0,0
191,7/11/2022,CITRUS,ORANGES,4576820.46,2202720.21,210.1645312,24.15071957,0,234.3152508
192,7/11/2022,CITRUS,GRAPEFRUIT,786131.57,378799.08,0,0,0,0
193,7/11/2022,STONE FRUIT,NECTARINES,3231569.13,1373360.61,0,0,0,0
194,7/11/2022,COOKING VEGTABLES,CAULIFLOWER L3,972404.59,365211,0,0,0,0
195,7/11/2022,RICE AND BEANS,RICE,0.00E+00,0.00E+00,0,0,0,0
196,7/11/2022,PROTEIN SNACKS,SNACK NUTS,0.00E+00,0.00E+00,0,0,5631.100032,5631.100032
197,7/11/2022,VAV MUSHROOMS DDV,VEGETARIAN,1736110.04,545526,0,0,3993.870008,3993.870008
198,7/11/2022,APPLES PEARS CHERRIES,CHERRIES,12870601.31,2843434.03,0,0,0,0
199,7/11/2022,CUT FRUIT,CUT FRUIT PROCESSED,11464598.14,2102428.86,0,0,0,0
200,7/11/2022,COOKING VEGTABLES,LETTUCE,7522454.04,3930142.17,0,0,0,0
201,7/11/2022,STONE FRUIT,SPECIALTY STONE FRUIT,1134172.29,247637.31,0,0,0,0
202,7/11/2022,PACKAGED VEGETABLES,ORGANIC PKG SALADS,4460269.06,1255694,0,0,0,0
203,7/11/2022,TROPICALS,PAPAYAS,777415.31,710970.2,0,0,0,0
204,7/11/2022,MIXED BERRIES,ORG MIXED BERRIES,1244071.41,270675,0,0,0,0
205,7/11/2022,MISC D84 AND 94,MISCELLANEOUS,0.00E+00,0.00E+00,0,0,0,0
206,7/11/2022,STONE FRUIT,PLUOTS,299099.09,59883,0,0,0,0
207,7/11/2022,COOKING VEGTABLES,ASPARAGUS L3,2205226.57,751718.88,0,0,0,0
208,7/11/2022,STRAWBERRIES,PREMIUM STRAWBERRIES,197172.6,53523,0,0,0,0
209,7/11/2022,APPLES PEARS CHERRIES,APPLES,15499634.28,5077840.32,0,0,6945.019934,6945.019934
210,7/11/2022,POTATOES ONIONS GARLIC,POTATOES,17488620.75,4990234.25,0,0,0,0
211,7/11/2022,TRUCK VEG CHILIS,BELL PEPPER,8228155.19,5964768.79,0,0,0,0
212,7/11/2022,PACKAGED VEGETABLES,HERBS,1834106.69,713553,0,0,6466.490042,6466.490042
213,7/11/2022,STRAWBERRIES,CORE STRAWBERRIES,12421612.54,4422180,0,0,0,0
214,7/11/2022,MIXED BERRIES,BLACKBERRIES,1900498.92,524530,0,0,0,0
215,7/11/2022,MELONS,WATERMELONS,13070016.75,2564874.59,0,0,0,0
216,7/11/2022,TRUCK VEG CHILIS,CUCUMBERS,5677361.19,6496841.8,0,0,0,0
217,7/11/2022,FLORAL,ROSES,1785082.38,204930,0,0,0,0
218,7/11/2022,TOMATOES,TOMATO SMALLS,4530057.99,1448831.25,0,0,0,0
219,7/11/2022,TRUCK VEG CHILIS,ORGANIC TRUCK VEG,1133130.34,367873.95,0,0,0,0
220,7/11/2022,CITRUS,LIMES,4333112.27,6874531.4,0,0,0,0
221,7/11/2022,VAV MUSHROOMS DDV,DRESSINGS,926936.34,224756,0,0,4438.509999,4438.509999
222,7/11/2022,CITRUS,SPECIALTY CITRUS,241705.25,275545.15,0,0,0,0
223,7/11/2022,DRIED FRUIT NUTS SNACKS,DRIED FRUIT,0.00E+00,0.00E+00,0,0,0,0
224,7/11/2022,STONE FRUIT,PEACHES,5599825.13,2639901.55,0,0,0,0
225,7/11/2022,MELONS,PUMPKINS,9056.21,2863,0,0,0,0
226,7/11/2022,TOMATOES,SALAD TOPPINGS,973941.29,343111,0,0,1434.75998,1434.75998
227,7/11/2022,TRUCK VEG CHILIS,CORN,3287362.09,5831642.05,0,0,0,0
228,7/11/2022,STRAWBERRIES,LONG STEM STRAWBERRIES,786.02,140,0,0,0,0
229,7/11/2022,FLORAL,CONSUMER BUNCHES,1734587.41,272525,0,0,0,0
230,7/11/2022,PACKAGED VEGETABLES,PKG SALADS,19359298.94,6847701.03,0,0,3615.959991,3615.959991
231,7/11/2022,COOKING VEGTABLES,BROCCOLI L3,2426707.28,1255381.91,0,0,0,0
232,7/11/2022,APPLES PEARS CHERRIES,PEARS,1381028.79,539874.99,0,0,4405.860058,4405.860058
233,7/11/2022,GRAPES L2,GRAPES,13720345.99,6427084.01,0,93.51022207,0,93.51022207
234,7/11/2022,TRUCK VEG CHILIS,SQUASH L3,2806353.14,2097612.67,0,0,0,0
235,7/11/2022,COOKING VEGTABLES,CELERY,2481571.3,1261067.57,0,0,0,0
236,7/11/2022,D94 MISC L2,D94 MISC L3,205.3,149.86,0,0,0,0
237,7/11/2022,DEPT LEVEL SALES,Dept Ring,151311.75,32286.37,0,0,0,0
238,7/11/2022,FLORAL,MIXED BOUQUETS,713740.84,81217,0.056953872,0,0,0.056953872
239,7/11/2022,MIXED BERRIES,BLUEBERRIES,6529335.22,1533709,0,0,0,0
240,7/11/2022,CUT FRUIT,CUT FRUIT PACKAGED,4661933.22,1569879,0.559971912,0,135.5399994,136.0999714
241,7/11/2022,TRUCK VEG CHILIS,SOFT VEGETABLES,959029.63,539509.42,0,0,0,0
242,7/11/2022,CITRUS,CAL SEASONAL,2028.26,865.85,0,0,0,0
243,7/11/2022,POTATOES ONIONS GARLIC,GARLIC,2204037.83,654184.47,0,0,1087.140014,1087.140014
244,7/11/2022,FLORAL,BULBS,125251.56,25364,0,0,0,0
245,7/11/2022,MELONS,CANTALOUPES,3147363.02,1181135.3,0,0,0,0
246,7/11/2022,DEPT LEVEL SALES,GEC Returns & POS Errors,91439.05,23503.92,0,0,0,0
247,7/11/2022,VAV MUSHROOMS DDV,VALUE ADDED VEGETABLES,5269247.4,1539002,0,0,0,0
248,7/11/2022,FLORAL,MISC FLORAL,40534.17,6373,0,0,0,0
249,7/11/2022,TOMATOES,TOMATO SLICERS,4463791.61,2210033.83,0,0,0,0
