INDEX,O_SALE,O_UNIT,O_SALE_STORE,O_SALE_OG,O_SALE_DOTCOM,O_SALE_ONLINE,O_UNIT_STORE,O_UNIT_OG,O_UNIT_DOTCOM,O_UNIT_ONLINE,M_ON_DIS_HPLO_IMP,M_ON_DIS_HPLO_SPEND,M_ON_DIS_APP_HPLO_IMP,M_ON_DIS_APP_HPLO_SPEND,M_ON_DIS_HP_IMP,M_ON_DIS_HP_SPEND,M_ON_DIS_ROS_IMP,M_ON_DIS_ROS_SPEND,M_ON_DIS_CATTO_IMP,M_ON_DIS_CATTO_SPEND,M_ON_DIS_HPTO_IMP,M_ON_DIS_HPTO_SPEND,M_ON_DIS_HPGTO_IMP,M_ON_DIS_HPGTO_SPEND,M_ON_DIS_AT_IMP,M_ON_DIS_AT_SPEND,M_ON_DIS_KW_IMP,M_ON_DIS_KW_SPEND,M_ON_DIS_CT_IMP,M_ON_DIS_CT_SPEND,M_SP_AB_IMP,M_SP_AB_CLK,M_SP_AB_SPEND,M_SP_KWB_IMP,M_SP_KWB_CLK,M_SP_KWB_SPEND,M_SV_IMP,M_SV_CLK,M_SV_SPEND,M_SBA_IMP,M_SBA_CLK,M_SBA_SPEND,M_SEARCH_IMP,M_SEARCH_CLK,M_SEARCH_SPEND,M_OFF_DIS_FB_IMP,M_OFF_DIS_FB_SPEND,M_OFF_DIS_WN_WITHOUTCTV_IMP,M_OFF_DIS_WN_WITHOUTCTV_SPEND,M_OFF_DIS_DSP_CTV_IMP,M_OFF_DIS_DSP_CTV_SPEND,M_OFF_DIS_PIN_IMP,M_OFF_DIS_PIN_SPEND,M_ON_DIS_TOTAL_IMP,M_ON_DIS_TOTAL_SPEND,M_OFF_DIS_TOTAL_IMP,M_OFF_DIS_TOTAL_SPEND,M_ON_DIS_TOTAL_HPLO_IMP,M_ON_DIS_TOTAL_HPLO_SPEND,PRICE,PRICE_ONLINE,RATE_M_SP_AB,RATE_M_SP_KWB,RATE_M_SBA,RATE_M_SV,RATE_M_ON_DIS_AT,RATE_M_ON_DIS_CT,RATE_M_ON_DIS_CATTO,RATE_M_ON_DIS_KW,RATE_M_ON_DIS_ROS,RATE_M_ON_DIS_TOTAL_HPLO,RATE_M_ON_DIS_HPGTO,RATE_M_ON_DIS_HPTO,RATE_M_ON_DIS_HP,RATE_M_OFF_DIS_WN_WITHOUTCTV,RATE_M_OFF_DIS_DSP_CTV,RATE_M_OFF_DIS_FB,RATE_M_OFF_DIS_PIN
2022-08-01,999094.8400000001,64218.0,857421.34,17400.190000000002,124273.31,141673.5,59833.0,503.0,3882.0,4385.0,0.0,0.0,0.0,0.0,0.0,0.0,179380.35294117648,1237.7244352899997,0.0,0.0,0.0,0.0,0.0,0.0,767646.8352941177,9306.763030116,9747.600000000002,134.51688,628473.7999999999,6792.914768000001,1029701.0,2254.0,1242.899999452,683184.0,1373.0,1537.7400061179997,0.0,0.0,0.0,209099.0,619.0,673.999999122,1921984.0,4246.0,3454.6400046920003,0.0,0.0,2022079.9999999998,10460.264778989003,0.0,0.0,0.0,0.0,1585248.5882352944,17471.919113406002,2022079.9999999998,10460.264778989003,0.0,0.0,553.6458132708476,533.5253706812832,1.1170072614758915,2.7106010277013213,2.402161397121667,0.0,0.036919999999996636,0.03205923728946619,0.0,0.013799999999999996,0.006899999999977043,0.0,0.0,0.0,0.0,0.010245531258498817,0.0,0.0,0.0
2022-08-02,887682.1000000001,56947.0,757858.5,19004.45,110819.15000000001,129823.6,52328.0,534.0,4085.0,4619.0,0.0,0.0,0.0,0.0,0.0,0.0,169288.82352941175,1168.092882348,0.0,0.0,0.0,0.0,0.0,0.0,755565.0000000001,9168.2474,9771.600000000002,134.84807999999998,547880.1411764706,5895.2408997679995,1020810.0,2210.0,1239.670000599,645805.0,1419.0,1477.4199996709997,0.0,0.0,0.0,235833.0,620.0,679.98999666,1902448.0,4249.0,3397.07999693,0.0,0.0,2033198.0000000005,10530.354039247997,0.0,0.0,0.0,0.0,1482505.5647058822,16366.429262115998,2033198.0000000005,10530.354039247997,0.0,0.0,514.7004571561027,487.07139904094487,1.1292638919985643,2.576737724916476,2.4987375653037756,0.0,0.036919999999999994,0.032039283405579405,0.0,0.013799999999999995,0.006899999999970813,0.0,0.0,0.0,0.0,0.010248660617678393,0.0,0.0,0.0
2022-08-03,947619.05,65257.0,809097.8900000001,16478.82,122042.34000000001,138521.16,60967.0,470.0,3820.0,4290.0,0.0,0.0,0.0,0.0,0.0,0.0,150169.76470588238,1036.1713764639999,0.0,0.0,0.0,0.0,0.0,0.0,751319.0941176473,9120.386685638001,9491.0,130.97580000000002,487107.5411764706,5215.740179768,1033140.0,2193.0,1238.310001031,598524.0,1554.0,1475.4300020690005,0.0,0.0,0.0,217193.0,606.0,675.029996251,1848857.0,4353.0,3388.7699993509996,0.0,0.0,2240667.2,11665.808973569003,0.0,0.0,0.0,0.0,1398087.4,15503.274041869998,2240667.2,11665.808973569003,0.0,0.0,546.2221069726352,571.1854712336719,1.1301849985944694,2.389928656417212,2.5173244928832945,0.0,0.036919999999980746,0.032011842124351174,0.0,0.013800000000000002,0.006899999999956126,0.0,0.0,0.0,0.0,0.010309291949289947,0.0,0.0,0.0
2022-08-04,962722.9500000001,62628.0,833442.75,18231.83,111048.37000000001,129280.2,58896.0,513.0,3219.0,3732.0,0.0,0.0,0.0,0.0,0.0,0.0,160548.70588235292,1107.7860705939997,0.0,0.0,0.0,0.0,0.0,0.0,767740.6470588235,9320.370218826,9611.399999999998,132.63732,495988.1882352941,5311.935958348,1092129.0,2162.0,1243.349998204,598995.0,1496.0,1440.4900001650003,0.0,0.0,0.0,226433.0,648.0,729.579999727,1917557.0,4306.0,3413.4199980960007,0.0,0.0,1898529.0,9939.992126069,0.0,0.0,0.0,0.0,1433888.9411764704,15872.729567768001,1898529.0,9939.992126069,0.0,0.0,522.0185627022594,481.68634834053165,1.133650232009839,2.521472571308503,2.4820325933136465,0.0,0.03692000000000513,0.03201106607422162,0.0,0.013800000000000002,0.006900000000035905,0.0,0.0,0.0,0.0,0.010444027659924733,0.0,0.0,0.0
2022-08-05,1244979.54,81329.0,1104639.34,22299.49,118040.71,140340.2,77135.0,638.0,3556.0,4194.0,0.0,0.0,0.0,0.0,0.0,0.0,153834.47058823527,1061.4578470580002,0.0,0.0,0.0,0.0,0.0,0.0,761254.1176470588,9244.301407058003,9709.600000000002,133.99248000000003,494542.7529411765,5300.975661406,1173871.0,2492.0,1255.539997281,890707.0,2096.0,1501.9699979139998,0.0,0.0,0.0,212233.0,852.0,917.579999803,2276811.0,5440.0,3675.089994997999,0.0,0.0,2076696.7999999998,10905.20176021,0.0,0.0,0.0,0.0,1419340.9411764706,15740.727395522,2076696.7999999998,10905.20176021,0.0,0.0,498.0045774356171,511.08983848999725,1.0407287907547658,2.344301101651925,2.1726654790531024,0.0,0.03691999999999827,0.032014044691412405,0.0,0.0138,0.006899999999994649,0.0,0.0,0.0,0.0,0.010474079591718238,0.0,0.0,0.0
2022-08-06,1365613.9800000002,85514.0,1237541.99,20588.7,107483.29000000001,128071.99,81602.0,617.0,3295.0,3912.0,0.0,0.0,0.0,0.0,0.0,0.0,163823.05882352937,1130.379105884,0.0,0.0,0.0,0.0,0.0,0.0,750562.0117647059,9111.58782071,9491.800000000001,130.98683999999997,460016.74117647065,4941.190231768001,1185761.0,2494.0,1258.599995591,789859.0,2098.0,1545.8400061910004,0.0,0.0,0.0,225160.0,662.0,712.089996322,2200780.0,5254.0,3516.5299981040002,0.0,0.0,1733071.9999999998,9045.387855546,0.0,0.0,0.0,0.0,1383893.6117647062,15314.143998361998,1733071.9999999998,9045.387855546,0.0,0.0,510.916291075394,518.8139202764485,1.0860726964378968,2.327223749710817,2.2887899831989396,0.0,0.03692000000000879,0.03200216554132544,0.0,0.013799999999999996,0.006900000000010055,0.0,0.0,0.0,0.0,0.01041607856024819,0.0,0.0,0.0
2022-08-07,1191473.09,73814.0,1072682.06,17244.440000000002,101546.59000000001,118791.03000000001,70266.0,501.0,3047.0,3548.0,0.0,0.0,0.0,0.0,0.0,0.0,178524.70588235292,1231.8204705940002,0.0,0.0,0.0,0.0,0.0,0.0,778111.7411764706,9442.621784478,9909.800000000001,136.75524000000001,494908.97647058824,5337.71477271,1093076.0,2402.0,1254.699995523,772047.0,2083.0,1583.4200018330002,0.0,0.0,0.0,238139.0,685.0,725.3099956819999,2103262.0,5170.0,3563.429993038,0.0,0.0,1915791.4,9977.357805628997,0.0,0.0,0.0,0.0,1461455.2235294117,16148.912267782,1915791.4,9977.357805628997,0.0,0.0,508.004706989152,531.0894784757006,1.1120170441585524,2.477779399288398,2.207918662247337,0.0,0.036920000000015246,0.03201374430453636,0.0,0.0138,0.006900000000032293,0.0,0.0,0.0,0.0,0.010400535838683441,0.0,0.0,0.0
2022-08-08,846338.9000000001,54637.0,729491.6900000001,15130.050000000001,101717.16,116847.21000000002,51074.0,474.0,3089.0,3563.0,0.0,0.0,0.0,0.0,0.0,0.0,153477.88235294117,1058.997388232,0.0,0.0,0.0,0.0,0.0,0.0,747614.2823529411,9073.406256927998,9658.600000000002,133.28868,471658.7411764706,5109.813519768,1176888.0,2423.0,1257.9799933810002,863842.0,2060.0,1466.8600030960004,0.0,0.0,0.0,223198.0,641.0,717.949999703,2263928.0,5124.0,3442.78999618,0.0,0.0,1614791.3999999992,8404.279459271998,0.0,0.0,0.0,0.0,1382409.5058823528,15375.505844928,1614791.3999999992,8404.279459271998,0.0,0.0,512.3724025795998,539.8305679207767,1.1006856309782544,2.2814470352845406,2.5275629209388564,0.0,0.03690856284483536,0.03202851908704383,0.0,0.013799999999999996,0.006899999999978537,0.0,0.0,0.0,0.0,0.010394536703132395,0.0,0.0,0.0
2022-08-09,766176.16,50595.0,654104.01,14023.58,98048.57,112072.15000000001,46468.0,420.0,3707.0,4127.0,0.0,0.0,0.0,0.0,0.0,0.0,133403.5294117647,920.484352942,0.0,0.0,0.0,0.0,0.0,0.0,778074.6000000001,9369.349416000001,9327.199999999999,128.71536000000003,452876.92941176466,4890.829158116,1206587.0,2435.0,1249.9999930399997,862882.0,2007.0,1457.2900060400002,0.0,0.0,0.0,262855.0,671.0,766.0199982349999,2332324.0,5113.0,3473.3099973149992,0.0,0.0,2253443.8,11832.893022493,0.0,0.0,0.0,0.0,1373682.2588235294,15309.378287058002,2253443.8,11832.893022493,0.0,0.0,506.28648134612797,585.7641368981094,1.1049792183699243,2.4685988428819576,2.494903508477233,0.0,0.036771927069870335,0.03201695256943104,0.0,0.013800000000000005,0.006900000000006174,0.0,0.0,0.0,0.0,0.010443453793145836,0.0,0.0,0.0
2022-08-10,836833.93,51254.0,658101.08,13449.31,165283.54,178732.85,46987.0,412.0,3855.0,4267.0,0.0,0.0,0.0,0.0,0.0,0.0,149198.82352941175,1029.4718823480002,0.0,0.0,0.0,0.0,0.0,0.0,1065026.4588235295,12277.070847535997,9634.800000000001,132.96024,475311.14117647056,5158.195839768,1283647.0,2605.0,1251.189992379,1153527.0,2051.0,1488.360004086,0.0,0.0,0.0,191779.0,692.0,784.799997958,2628953.0,5348.0,3524.349994422999,0.0,0.0,3037654.799999999,15958.598947353003,0.0,0.0,0.0,0.0,1699171.2235294115,18597.698809652,3037654.799999999,15958.598947353003,0.0,0.0,535.3489511256431,613.4716759183062,1.0429950116018778,2.4141796181278945,2.445536531677728,0.0,0.03616403460558866,0.03203111848062127,0.0,0.013799999999999998,0.006899999999966884,0.0,0.0,0.0,0.0,0.010440713974023096,0.0,0.0,0.0
